case_name,option_type,variant,simulations,time_steps,seed,sample_count,path_count,exact_price,price,runtime_ms,absolute_error,relative_error,standard_error,ci95_lower,ci95_upper,config,notes
"atm_put_1y","Put","Crude",30000,100,42,30000,30000,5.573526,5.573236,109.762792,0.000290,0.000052,0.050197,5.474849,5.671623,"scheme=Euler;variant=Crude;timeSteps=100;samples=30000;paths=30000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","Crude",60000,100,42,60000,60000,5.573526,5.616626,308.592625,0.043100,0.007733,0.035529,5.546989,5.686263,"scheme=Euler;variant=Crude;timeSteps=100;samples=60000;paths=60000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","Antithetic",1000,100,42,1000,2000,5.573526,5.733295,3.281541,0.159769,0.028666,0.150553,5.438210,6.028379,"scheme=Euler;variant=Antithetic;timeSteps=100;samples=1000;paths=2000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","Antithetic",5000,100,42,5000,10000,5.573526,5.628189,16.138083,0.054663,0.009808,0.066680,5.497496,5.758881,"scheme=Euler;variant=Antithetic;timeSteps=100;samples=5000;paths=10000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","Antithetic",10000,100,42,10000,20000,5.573526,5.572399,31.375792,0.001127,0.000202,0.046915,5.480445,5.664353,"scheme=Euler;variant=Antithetic;timeSteps=100;samples=10000;paths=20000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","Antithetic",30000,100,42,30000,60000,5.573526,5.595671,96.065709,0.022145,0.003973,0.027303,5.542156,5.649185,"scheme=Euler;variant=Antithetic;timeSteps=100;samples=30000;paths=60000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","Antithetic",60000,100,42,60000,120000,5.573526,5.582092,232.019500,0.008566,0.001537,0.019235,5.544392,5.619792,"scheme=Euler;variant=Antithetic;timeSteps=100;samples=60000;paths=120000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","ControlVariate",1000,100,42,1000,1000,5.573526,5.573366,4.584292,0.000160,0.000029,0.005091,5.563387,5.583345,"scheme=Euler;variant=ControlVariate;timeSteps=100;samples=1000;paths=1000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","ControlVariate",5000,100,42,5000,5000,5.573526,5.570014,27.525834,0.003512,0.000630,0.002205,5.565693,5.574336,"scheme=Euler;variant=ControlVariate;timeSteps=100;samples=5000;paths=5000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","ControlVariate",10000,100,42,10000,10000,5.573526,5.571188,50.871708,0.002338,0.000419,0.001564,5.568123,5.574254,"scheme=Euler;variant=ControlVariate;timeSteps=100;samples=10000;paths=10000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","ControlVariate",30000,100,42,30000,30000,5.573526,5.573999,162.666666,0.000473,0.000085,0.000895,5.572245,5.575753,"scheme=Euler;variant=ControlVariate;timeSteps=100;samples=30000;paths=30000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","ControlVariate",60000,100,42,60000,60000,5.573526,5.573360,319.331709,0.000166,0.000030,0.000635,5.572115,5.574606,"scheme=Euler;variant=ControlVariate;timeSteps=100;samples=60000;paths=60000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
